seqid	assembly	chromosome	start	end	strand	geneID
Os01t0691300-01	IRGSP-1.0	1	28538881	28539369	-1	Os01g0691300
Os01t0169900-01	IRGSP-1.0	1	3591827	3596152	-1	Os01g0169900
Os02t0537800-00	IRGSP-1.0	2	19897130	19898864	1	Os02g0537800
Os01t0742350-01	IRGSP-1.0	1	30998119	30999454	1	Os01g0742350
Os11t0572301-01	IRGSP-1.0	11	21468751	21472160	-1	Os11g0572301
Os10t0525500-01	IRGSP-1.0	10	20434654	20435650	-1	Os10g0525500
Os05t0155100-01	IRGSP-1.0	5	3230312	3232921	1	Os05g0155100
Os08t0154700-01	IRGSP-1.0	8	3146548	3149925	1	Os08g0154700
Os09t0498700-01	IRGSP-1.0	9	19286875	19289898	1	Os09g0498700
Os02t0637200-01	IRGSP-1.0	2	25550305	25550944	-1	Os02g0637200
Os10t0135100-00	IRGSP-1.0	10	2169099	2170542	1	Os10g0135100
Os11t0465200-02	IRGSP-1.0	11	15956696	15960222	-1	Os11g0465200
Os11t0465200-01	IRGSP-1.0	11	15956675	15960376	-1	Os11g0465200
Os08t0563200-01	IRGSP-1.0	8	28201024	28202721	-1	Os08g0563200
Os05t0594500-02	IRGSP-1.0	5	29595627	29599484	-1	Os05g0594500
Os05t0594500-01	IRGSP-1.0	5	29595609	29601356	-1	Os05g0594500
Os06t0500300-00	IRGSP-1.0	6	17617486	17618782	-1	Os06g0500300
Os03t0213800-01	IRGSP-1.0	3	5960793	5964717	-1	Os03g0213800
Os09t0493800-01	IRGSP-1.0	9	19125425	19129839	-1	Os09g0493800
Os09t0493800-02	IRGSP-1.0	9	19125423	19129780	-1	Os09g0493800
Os03t0341200-00	IRGSP-1.0	3	12719110	12719678	-1	Os03g0341200
Os04t0416700-01	IRGSP-1.0	4	20579386	20580531	-1	Os04g0416700
Os08t0215400-00	IRGSP-1.0	8	6736981	6742879	-1	Os08g0215400
Os08t0496900-01	IRGSP-1.0	8	24537686	24542169	-1	Os08g0496900
Os06t0682800-01	IRGSP-1.0	6	28457970	28463484	-1	Os06g0682800
Os07t0677100-01	IRGSP-1.0	7	28669498	28671384	1	Os07g0677100
Os07t0181100-01	IRGSP-1.0	7	4283646	4287282	1	Os07g0181100
Os04t0576800-02	IRGSP-1.0	4	29071860	29076269	1	Os04g0576800
Os04t0576800-01	IRGSP-1.0	4	29071818	29076269	1	Os04g0576800
Os04t0576800-03	IRGSP-1.0	4	29071888	29076269	1	Os04g0576800
Os06t0215600-02	IRGSP-1.0	6	5884568	5886141	-1	Os06g0215600
Os12t0532500-01	IRGSP-1.0	12	21136245	21138179	1	Os12g0532500
Os01t0958950-00	IRGSP-1.0	1	42269992	42274053	-1	Os01g0958950
Os01t0616400-01	IRGSP-1.0	1	24471931	24478431	-1	Os01g0616400
Os01t0616400-02	IRGSP-1.0	1	24471977	24478429	-1	Os01g0616400
Os10t0181200-01	IRGSP-1.0	10	5577483	5586604	-1	Os10g0181200
Os10t0181200-02	IRGSP-1.0	10	5577475	5582195	-1	Os10g0181200
Os08t0499000-01	IRGSP-1.0	8	24621380	24622828	-1	Os08g0499000
Os03t0197100-01	IRGSP-1.0	3	5098241	5100592	1	Os03g0197100
Os10t0467100-00	IRGSP-1.0	10	17249628	17249923	1	Os10g0467100
Os12t0553200-01	IRGSP-1.0	12	22488914	22492254	-1	Os12g0553200
Os02t0101600-00	IRGSP-1.0	2	83413	85637	-1	Os02g0101600
Os03t0180800-01	IRGSP-1.0	3	4232004	4233038	-1	Os03g0180800
Os01t0696000-02	IRGSP-1.0	1	28798884	28803859	1	Os01g0696000
Os01t0696000-01	IRGSP-1.0	1	28798880	28801271	1	Os01g0696000
Os10t0396400-01	IRGSP-1.0	10	13294380	13300007	-1	Os10g0396400
Os10t0396400-02	IRGSP-1.0	10	13294411	13299369	-1	Os10g0396400
Os06t0610350-01	IRGSP-1.0	6	24313523	24316697	1	Os06g0610350
Os10t0437900-00	IRGSP-1.0	10	15688756	15689850	1	Os10g0437900
Os09t0416900-00	IRGSP-1.0	9	14938305	14941327	1	Os09g0416900
Os05t0237200-01	IRGSP-1.0	5	8371897	8376033	-1	Os05g0237200
Os04t0103700-01	IRGSP-1.0	4	246535	249229	-1	Os04g0103700
Os05t0568100-01	IRGSP-1.0	5	28289829	28293256	1	Os05g0568100
Os07t0654700-00	IRGSP-1.0	7	27501837	27507177	1	Os07g0654700
Os01t0103100-01	IRGSP-1.0	1	178607	180548	1	Os01g0103100
Os01t0103100-02	IRGSP-1.0	1	178652	180575	1	Os01g0103100
Os12t0107600-00	IRGSP-1.0	12	414959	415621	1	Os12g0107600
Os07t0114400-01	IRGSP-1.0	7	799617	805177	-1	Os07g0114400
Os03t0373300-01	IRGSP-1.0	3	14698096	14698884	-1	Os03g0373300
Os07t0676600-01	IRGSP-1.0	7	28649695	28651518	1	Os07g0676600
Os08t0512900-01	IRGSP-1.0	8	25434400	25436334	1	Os08g0512900
Os05t0430400-01	IRGSP-1.0	5	21126879	21129643	-1	Os05g0430400
Os09t0515550-00	IRGSP-1.0	9	20083070	20083372	-1	Os09g0515550
Os08t0174750-00	IRGSP-1.0	8	4351785	4352132	1	Os08g0174750
