chromosome	family	start	end	size	genes
1	5	216212	243440	2	Os01g0104200,Os01g0104500
1	708	322591	328450	2	Os01g0106300,Os01g0106400
1	3039	689788	714232	2	Os01g0112800,Os01g0113150
1	11	720673	726099	2	Os01g0113200,Os01g0113300
1	11	731150	737556	2	Os01g0113400,Os01g0113500
1	11	742860	754992	3	Os01g0113700,Os01g0113800,Os01g0113900
1	11	774727	795413	4	Os01g0114400,Os01g0114600,Os01g0114700,Os01g0114900
1	11	839809	865249	6	Os01g0115500,Os01g0115566,Os01g0115600,Os01g0115700,Os01g0115750,Os01g0115800
1	11	865938	1000997	16	Os01g0115900,Os01g0116000,Os01g0116200,Os01g0116300,Os01g0116400,Os01g0116900,Os01g0116800,Os01g0117000,Os01g0117100,Os01g0117200,Os01g0117266,Os01g0117300,Os01g0117400,Os01g0117500,Os01g0117600,Os01g0117700
1	542	935618	960545	2	Os01g0116901,Os01g0117025
1	3050	1240943	1251421	2	Os01g0121950,Os01g0122000
1	3051	1328172	1334769	2	Os01g0123500,Os01g0123700
1	544	1338241	1366432	7	Os01g0123900,Os01g0124000,Os01g0124100,Os01g0124200,Os01g0124401,Os01g0124600,Os01g0124650
1	940	1433996	1445599	2	Os01g0126100,Os01g0126200
1	940	1486400	1500606	3	Os01g0126900,Os01g0127000,Os01g0127200
1	1296	1562618	1569467	2	Os01g0128100,Os01g0128200
1	3059	1757812	1761065	2	Os01g0131900,Os01g0132000
1	218	1857083	1866109	2	Os01g0133600,Os01g0133700
1	3062	1857805	1866126	2	Os01g0133650,Os01g0133799
1	430	1906717	1915094	2	Os01g0134800,Os01g0134900
1	184	1934117	1952681	5	Os01g0135800,Os01g0135900,Os01g0136000,Os01g0136100,Os01g0136200
1	11	1984267	2003083	2	Os01g0136900,Os01g0137400
1	11	2048745	2057636	2	Os01g0138300,Os01g0138400
1	92	2154326	2203787	2	Os01g0140700,Os01g0141000
1	719	2215662	2229526	2	Os01g0141100,Os01g0141300
1	1303	2414271	2438772	3	Os01g0144800,Os01g0145000,Os01g0145200
1	3075	2453742	2491357	2	Os01g0145600,Os01g0146101
1	3077	2570072	2583575	2	Os01g0147400,Os01g0147700
1	3078	2669251	2686364	2	Os01g0149350,Os01g0149500
1	722	2718042	2747439	4	Os01g0150200,Os01g0150400,Os01g0150500,Os01g0150800
1	1904	2776973	2790377	2	Os01g0151400,Os01g0151500
1	1305	2815148	2818897	2	Os01g0152100,Os01g0152200
1	721	2830325	2843512	3	Os01g0152600,Os01g0152687,Os01g0152800
1	431	2885392	2888434	2	Os01g0153500,Os01g0153600
1	1306	2885449	2888430	2	Os01g0153550,Os01g0153625
1	431	2899057	2921321	4	Os01g0153900,Os01g0153950,Os01g0154100,Os01g0154200
1	1908	2922561	2932886	3	Os01g0154300,Os01g0154500,Os01g0154600
1	133	3143601	3204252	3	Os01g0160200,Os01g0160700,Os01g0161000
1	3092	3312670	3321035	2	Os01g0164075,Os01g0164300
1	957	3397441	3403488	2	Os01g0166100,Os01g0166300
1	1316	3878164	3898729	2	Os01g0175600,Os01g0175700
1	3106	3878702	3898734	2	Os01g0175633,Os01g0175733
1	1319	3917918	3926323	3	Os01g0176000,Os01g0176100,Os01g0176200
1	3108	3918125	3921821	2	Os01g0176050,Os01g0176150
1	559	4418239	4423105	2	Os01g0183500,Os01g0183600
1	6	4566304	4573271	2	Os01g0185900,Os01g0186000
1	1920	4761327	4782706	2	Os01g0188900,Os01g0189100
1	560	5149335	5203996	2	Os01g0195801,Os01g0196300
1	3131	5288136	5317280	2	Os01g0197900,Os01g0198000
1	3137	5579959	5596237	2	Os01g0201800,Os01g0201900
1	738	5848166	5863577	3	Os01g0207700,Os01g0207900,Os01g0208000
