seqid	assembly	chromosome	start	end	strand	geneID	hsfamily	lsfamily
Os01t0100100-01	IRGSP-1.0	1	2983	10815	1	Os01g0100100	1278	652
Os01t0100200-01	IRGSP-1.0	1	11218	12435	1	Os01g0100200	0	0
Os01t0100300-00	IRGSP-1.0	1	11372	12284	-1	Os01g0100300	3015	43
Os01t0100400-01	IRGSP-1.0	1	12721	15685	1	Os01g0100400	1279	366
Os01t0100466-00	IRGSP-1.0	1	12808	13978	-1	Os01g0100466	0	0
Os01t0100500-01	IRGSP-1.0	1	16399	20144	1	Os01g0100500	0	0
Os01t0100600-01	IRGSP-1.0	1	22841	26892	1	Os01g0100600	0	0
Os01t0100650-00	IRGSP-1.0	1	25861	26424	-1	Os01g0100650	0	23
Os01t0100700-01	IRGSP-1.0	1	27143	28644	1	Os01g0100700	3016	2860
Os01t0100800-01	IRGSP-1.0	1	29818	34453	1	Os01g0100800	1878	912
Os01t0100900-01	IRGSP-1.0	1	35623	41136	1	Os01g0100900	0	0
Os01t0101150-00	IRGSP-1.0	1	58658	61090	1	Os01g0101150	8	3
Os01t0101200-01	IRGSP-1.0	1	62060	63576	1	Os01g0101200	3017	2861
Os01t0101300-01	IRGSP-1.0	1	63350	66302	-1	Os01g0101300	0	0
Os01t0101600-01	IRGSP-1.0	1	72816	78349	1	Os01g0101600	0	414
Os01t0101700-00	IRGSP-1.0	1	82426	84095	1	Os01g0101700	540	30
Os01t0101800-01	IRGSP-1.0	1	85337	88844	1	Os01g0101800	0	1977
Os01t0101850-00	IRGSP-1.0	1	86211	88583	-1	Os01g0101850	0	0
Os01t0101900-00	IRGSP-1.0	1	88883	89228	-1	Os01g0101900	212	367
Os01t0102000-01	IRGSP-1.0	1	89763	91465	-1	Os01g0102000	706	913
Os01t0102300-01	IRGSP-1.0	1	134300	135439	1	Os01g0102300	0	0
Os01t0102400-01	IRGSP-1.0	1	139826	141555	1	Os01g0102400	3018	267
Os01t0102500-01	IRGSP-1.0	1	141959	144554	1	Os01g0102500	0	0
Os01t0102600-01	IRGSP-1.0	1	145603	147847	1	Os01g0102600	0	0
Os01t0102700-01	IRGSP-1.0	1	148085	150568	1	Os01g0102700	3019	2862
Os01t0102800-01	IRGSP-1.0	1	152853	156449	1	Os01g0102800	3020	75
Os01t0102850-00	IRGSP-1.0	1	164577	168921	1	Os01g0102850	0	0
Os01t0102900-01	IRGSP-1.0	1	169390	170316	-1	Os01g0102900	0	0
Os01t0103000-01	IRGSP-1.0	1	170798	173144	-1	Os01g0103000	3021	2863
Os01t0103100-02	IRGSP-1.0	1	178652	180575	1	Os01g0103100	0	15
Os01t0103075-00	IRGSP-1.0	1	178815	180433	-1	Os01g0103075	0	141
Os01t0103400-01	IRGSP-1.0	1	185189	185828	-1	Os01g0103400	0	0
Os01t0103600-02	IRGSP-1.0	1	186250	190262	-1	Os01g0103600	0	1453
Os01t0103650-00	IRGSP-1.0	1	187545	188586	1	Os01g0103650	3022	2864
Os01t0103700-01	IRGSP-1.0	1	191037	196287	1	Os01g0103700	0	0
Os01t0103800-01	IRGSP-1.0	1	197647	200803	1	Os01g0103800	3023	1978
Os01t0103900-01	IRGSP-1.0	1	201944	206202	1	Os01g0103900	0	0
Os01t0104000-02	IRGSP-1.0	1	206131	209581	-1	Os01g0104000	0	1
Os01t0104100-01	IRGSP-1.0	1	209771	214173	1	Os01g0104100	3024	567
Os01t0104200-00	IRGSP-1.0	1	216212	217345	1	Os01g0104200	5	17
Os01t0104400-02	IRGSP-1.0	1	227139	229301	1	Os01g0104400	541	568
Os01t0104500-01	IRGSP-1.0	1	241680	243440	1	Os01g0104500	5	17
Os01t0104600-01	IRGSP-1.0	1	248828	256872	-1	Os01g0104600	3025	2866
Os01t0104800-02	IRGSP-1.0	1	263523	268120	1	Os01g0104800	0	2867
Os01t0104900-01	IRGSP-1.0	1	270179	275084	-1	Os01g0104900	3026	36
Os01t0105300-01	IRGSP-1.0	1	284762	291892	-1	Os01g0105300	0	0
Os01t0105400-01	IRGSP-1.0	1	288372	292296	1	Os01g0105400	422	45
Os01t0105700-01	IRGSP-1.0	1	303233	306736	1	Os01g0105700	424	8
Os01t0105800-01	IRGSP-1.0	1	306871	308842	-1	Os01g0105800	3028	1146
Os01t0105900-01	IRGSP-1.0	1	309520	313170	-1	Os01g0105900	0	2869
Os01t0106200-01	IRGSP-1.0	1	319754	322205	1	Os01g0106200	1280	1456
Os01t0106300-01	IRGSP-1.0	1	322591	323923	-1	Os01g0106300	708	268
