chromosome	family	start	end	size	genes
1	268	322591	328450	2	Os01g0106300,Os01g0106400
1	1148	513890	527980	2	Os01g0109700,Os01g0109750
1	1	720673	726099	2	Os01g0113200,Os01g0113300
1	1	728968	732538	2	Os01g0113350,Os01g0113400
1	1	738908	754992	4	Os01g0113650,Os01g0113700,Os01g0113800,Os01g0113900
1	1	786373	792435	2	Os01g0114600,Os01g0114700
1	1	839809	854568	4	Os01g0115500,Os01g0115566,Os01g0115600,Os01g0115700
1	1	857897	865249	2	Os01g0115750,Os01g0115800
1	1	865938	874817	2	Os01g0115900,Os01g0116000
1	1	915605	923630	2	Os01g0116300,Os01g0116400
1	1	961799	985133	5	Os01g0117100,Os01g0117200,Os01g0117266,Os01g0117300,Os01g0117400
1	1	987676	997262	2	Os01g0117500,Os01g0117600
1	105	1057177	1092825	5	Os01g0118400,Os01g0118600,Os01g0118700,Os01g0119000,Os01g0119100
1	1992	1217319	1223887	2	Os01g0121500,Os01g0121600
1	148	1238623	1255635	4	Os01g0121900,Os01g0121950,Os01g0122000,Os01g0122200
1	148	1264968	1337407	4	Os01g0122701,Os01g0123500,Os01g0123700,Os01g0123800
1	486	1338241	1354767	5	Os01g0123900,Os01g0124000,Os01g0124100,Os01g0124200,Os01g0124401
1	486	1363710	1366432	2	Os01g0124600,Os01g0124650
1	148	1369191	1396825	3	Os01g0124900,Os01g0125000,Os01g0125500
1	922	1433996	1445599	2	Os01g0126100,Os01g0126200
1	922	1486400	1492684	2	Os01g0126900,Os01g0127000
1	1474	1562618	1569467	2	Os01g0128100,Os01g0128200
1	2890	1757812	1761065	2	Os01g0131900,Os01g0132000
1	90	1934117	1944948	3	Os01g0135800,Os01g0135900,Os01g0136000
1	90	1948773	1952681	2	Os01g0136100,Os01g0136200
1	2005	1961587	1963627	2	Os01g0136450,Os01g0136500
1	1	1984267	2003083	2	Os01g0136900,Os01g0137400
1	1	2048745	2057636	2	Os01g0138300,Os01g0138400
1	60	2154326	2203787	2	Os01g0140700,Os01g0141000
1	1488	2422347	2438772	2	Os01g0145000,Os01g0145200
1	2905	2453742	2491357	2	Os01g0145600,Os01g0146101
1	428	2641000	2655523	2	Os01g0148500,Os01g0148700
1	667	2718042	2736707	3	Os01g0150200,Os01g0150400,Os01g0150500
1	667	2742507	2761554	2	Os01g0150800,Os01g0150900
1	2016	2776973	2790377	2	Os01g0151400,Os01g0151500
1	2019	2815148	2818897	2	Os01g0152100,Os01g0152200
1	2	2830325	2836233	2	Os01g0152600,Os01g0152687
1	250	2899057	2902192	2	Os01g0153900,Os01g0153950
1	250	2907071	2921321	2	Os01g0154100,Os01g0154200
1	250	2922561	2932886	3	Os01g0154300,Os01g0154500,Os01g0154600
1	1498	3031479	3035716	2	Os01g0157200,Os01g0157400
1	123	3143601	3185207	2	Os01g0160200,Os01g0160700
1	123	3251426	3257901	2	Os01g0162200,Os01g0162300
1	1499	3312670	3321035	2	Os01g0164075,Os01g0164300
1	5	3914804	3920432	2	Os01g0175850,Os01g0176000
1	71	4418239	4423105	2	Os01g0183500,Os01g0183600
1	19	4566304	4573271	2	Os01g0185900,Os01g0186000
1	41	4761327	4794940	3	Os01g0188900,Os01g0189100,Os01g0189700
1	8	5148879	5150341	2	Os01g0195700,Os01g0195801
1	2964	5288136	5317280	2	Os01g0197900,Os01g0198000
1	958	5373712	5385088	2	Os01g0198900,Os01g0199300
1	44	5848166	5863577	3	Os01g0207700,Os01g0207900,Os01g0208000
1	1540	6031025	6078239	4	Os01g0210900,Os01g0211000,Os01g0211200,Os01g0211600
1	24	6267440	6281742	2	Os01g0214600,Os01g0214800
1	24	6304802	6322451	2	Os01g0215500,Os01g0215700
1	24	6361526	6367057	2	Os01g0216400,Os01g0216500
1	1205	6412786	6435651	2	Os01g0217500,Os01g0217800
1	1544	6507356	6521026	2	Os01g0218800,Os01g0218900
1	133	6541971	6568140	2	Os01g0219600,Os01g0220100
1	1	6713909	6716305	2	Os01g0222800,Os01g0222900
1	24	6718349	6728538	2	Os01g0223000,Os01g0223200
1	1	6766511	6793320	5	Os01g0223600,Os01g0223700,Os01g0223800,Os01g0223900,Os01g0224000
1	2988	6909800	6915127	2	Os01g0225400,Os01g0225500
1	6	7049941	7073788	4	Os01g0227400,Os01g0227500,Os01g0227700,Os01g0227800
1	2996	7282051	7294209	2	Os01g0231800,Os01g0231900
1	268	7619082	7624487	2	Os01g0237500,Os01g0237750
1	299	7771395	7778090	2	Os01g0240600,Os01g0240700
1	299	7945561	8025021	5	Os01g0244000,Os01g0244150,Os01g0244400,Os01g0245000,Os01g0245532
1	299	8033763	8039750	2	Os01g0245700,Os01g0245901
1	423	8229331	8233871	2	Os01g0249700,Os01g0249800
1	180	8486578	8492345	2	Os01g0255000,Os01g0255100
1	654	8816863	8837029	3	Os01g0261600,Os01g0261700,Os01g0262000
1	11	8903598	8919968	2	Os01g0263000,Os01g0263300
1	150	9626942	9633056	2	Os01g0275500,Os01g0275600
1	37	10144374	10152280	2	Os01g0283600,Os01g0283700
1	986	10399289	10432766	2	Os01g0288800,Os01g0289100
1	1228	10496869	10510496	2	Os01g0290100,Os01g0290600
1	11	10701626	10750233	3	Os01g0293900,Os01g0294500,Os01g0294700
1	3	10965000	10966999	2	Os01g0299150,Os01g0299200
1	1231	11078206	11093987	2	Os01g0301500,Os01g0301700
1	1	11655138	11681874	2	Os01g0310500,Os01g0310800
1	58	11716329	11750685	2	Os01g0311800,Os01g0312500
1	174	11897584	11906868	2	Os01g0315600,Os01g0315700
1	174	12031970	12075088	3	Os01g0317500,Os01g0317800,Os01g0318000
1	443	12129716	12161767	2	Os01g0319200,Os01g0319400
1	1	12326546	12337225	2	Os01g0323000,Os01g0323100
1	11	12499923	12557268	4	Os01g0326000,Os01g0326100,Os01g0326300,Os01g0327000
1	11	12568431	12582256	2	Os01g0327100,Os01g0327400
1	100	12615286	12640586	2	Os01g0327900,Os01g0328300
1	24	12734098	12745509	2	Os01g0329900,Os01g0330100
1	1486	12980585	13141283	2	Os01g0333600,Os01g0335600
1	32	13363638	13374471	2	Os01g0340100,Os01g0340400
1	696	13396264	13438567	3	Os01g0340600,Os01g0341000,Os01g0341200
1	54	13838790	13859751	3	Os01g0347500,Os01g0347600,Os01g0348000
1	88	13899523	13904626	2	Os01g0348800,Os01g0348900
1	1586	14036461	14054909	2	Os01g0351100,Os01g0351200
1	16	14077661	14108083	2	Os01g0351800,Os01g0352100
1	278	14480825	14487138	2	Os01g0357900,Os01g0358100
1	215	14577199	14603058	3	Os01g0359400,Os01g0359600,Os01g0359800
1	1247	14732018	14743148	2	Os01g0361500,Os01g0361700
1	1	14825133	14878542	2	Os01g0364100,Os01g0364400
1	530	15130926	15152275	2	Os01g0369000,Os01g0369200
1	206	15234445	15283073	3	Os01g0370600,Os01g0370900,Os01g0371200
1	206	15289214	15294409	2	Os01g0371400,Os01g0371500
1	2164	15480089	15511423	2	Os01g0375200,Os01g0375500
1	43	16325492	16328374	2	Os01g0388000,Os01g0388101
1	321	16392304	16436778	3	Os01g0388700,Os01g0389200,Os01g0389700
1	33	17886583	17892946	2	Os01g0509750,Os01g0509800
1	2183	18259513	18288878	2	Os01g0516200,Os01g0516600
1	1003	18639233	18665275	3	Os01g0522400,Os01g0522800,Os01g0522950
1	236	18818271	18839612	4	Os01g0525350,Os01g0525700,Os01g0525701,Os01g0525800
1	208	19258575	19282465	2	Os01g0533000,Os01g0533100
1	208	19303393	19325937	2	Os01g0533500,Os01g0533800
1	64	19356270	19387198	2	Os01g0533900,Os01g0534700
1	4	19434294	19438842	2	Os01g0535100,Os01g0535300
1	12	20312947	20316106	2	Os01g0546500,Os01g0546700
1	39	20543454	20576206	2	Os01g0549700,Os01g0550000
1	127	20640981	20654948	2	Os01g0550800,Os01g0550900
1	224	21056832	21063681	2	Os01g0557100,Os01g0557200
1	35	22079065	22088239	2	Os01g0574400,Os01g0574500
1	2201	22221812	22234779	2	Os01g0576000,Os01g0576050
1	8	22236858	22325974	2	Os01g0576100,Os01g0577300
1	2058	22439040	22449792	2	Os01g0579900,Os01g0580000
1	2207	22625256	22637148	2	Os01g0583200,Os01g0583300
1	1467	22779111	22793723	2	Os01g0585700,Os01g0586000
1	2211	22929149	22937186	2	Os01g0588600,Os01g0588700
1	153	23014343	23026116	2	Os01g0590100,Os01g0590200
1	69	23353537	23359952	2	Os01g0595800,Os01g0595900
1	69	23402666	23411171	2	Os01g0596600,Os01g0596700
1	398	23439509	23448687	2	Os01g0597400,Os01g0597600
1	5	23456074	23465185	2	Os01g0597800,Os01g0598000
1	175	23639654	23651499	2	Os01g0601675,Os01g0601700
1	43	23663277	23675960	2	Os01g0602200,Os01g0602400
1	139	23864681	23880467	2	Os01g0605700,Os01g0606000
1	503	23938395	23962251	2	Os01g0607400,Os01g0607600
1	81	24047446	24081389	3	Os01g0609000,Os01g0609200,Os01g0609300
1	54	24343518	24353345	2	Os01g0613500,Os01g0613800
1	460	24390676	24393423	2	Os01g0615050,Os01g0615100
1	39	24598181	24605484	2	Os01g0618400,Os01g0618500
1	43	25060764	25068280	2	Os01g0627800,Os01g0627900
1	43	25076611	25121919	3	Os01g0628000,Os01g0628700,Os01g0628900
1	72	25457560	25463635	2	Os01g0635000,Os01g0635200
1	5	25598451	25617367	2	Os01g0638000,Os01g0638600
1	2229	25696671	25716827	2	Os01g0639900,Os01g0640000
1	1643	25792699	25800398	2	Os01g0642000,Os01g0642100
1	1	25836151	25839983	2	Os01g0642700,Os01g0642801
1	24	26200285	26206936	2	Os01g0649200,Os01g0649400
1	24	26230740	26273949	3	Os01g0650000,Os01g0650100,Os01g0650200
1	537	26364766	26369437	2	Os01g0651932,Os01g0652000
1	1	27386571	27476781	3	Os01g0668901,Os01g0669100,Os01g0670100
1	1284	27868771	27878341	2	Os01g0677900,Os01g0678000
1	1284	27883020	27898031	2	Os01g0678100,Os01g0678400
1	2246	28085781	28089095	2	Os01g0681700,Os01g0681800
1	5	28303270	28309500	2	Os01g0686200,Os01g0686300
1	1	28513039	28526710	3	Os01g0690600,Os01g0690800,Os01g0690900
1	1	28575815	28582752	2	Os01g0692400,Os01g0692500
1	2252	28683874	28698627	2	Os01g0694300,Os01g0694400
1	3238	28870424	28875033	2	Os01g0697400,Os01g0697700
1	38	28921498	28935191	2	Os01g0699100,Os01g0699400
1	38	28939657	28948045	2	Os01g0699500,Os01g0699600
1	383	29584058	29598085	2	Os01g0711900,Os01g0712500
1	42	30055567	30085762	7	Os01g0720900,Os01g0721000,Os01g0721100,Os01g0721200,Os01g0721300,Os01g0721400,Os01g0721500
1	210	30322749	30341594	3	Os01g0727500,Os01g0727600,Os01g0727700
1	69	30447427	30455330	2	Os01g0730100,Os01g0730200
1	426	30622077	30625036	2	Os01g0734200,Os01g0734333
1	5	30647512	30668299	3	Os01g0734600,Os01g0734800,Os01g0735300
1	5	30675734	30691452	2	Os01g0735500,Os01g0735900
1	5	30694998	30713844	2	Os01g0736100,Os01g0736300
1	346	30768475	30773134	2	Os01g0737600,Os01g0737700
1	861	30923013	30933963	3	Os01g0740500,Os01g0740650,Os01g0740600
1	238	31136522	31157902	2	Os01g0744700,Os01g0745000
1	7	31938559	31948580	2	Os01g0759200,Os01g0759400
1	15	32032727	32040378	2	Os01g0761400,Os01g0761500
1	1530	32475144	32489971	2	Os01g0770000,Os01g0770100
1	866	32523314	32526923	2	Os01g0770700,Os01g0770800
1	176	33091621	33103904	2	Os01g0781100,Os01g0781200
1	176	33120499	33145541	2	Os01g0781700,Os01g0782100
1	3302	33177222	33181729	2	Os01g0782901,Os01g0783000
1	2292	33227678	33240103	2	Os01g0784101,Os01g0784450
1	3305	33359554	33367253	2	Os01g0786700,Os01g0786800
1	1314	33618550	33630287	3	Os01g0793800,Os01g0793900,Os01g0794100
1	23	33675136	33688225	2	Os01g0795100,Os01g0795200
1	3308	33699128	33709258	2	Os01g0795600,Os01g0795832
1	3312	33913713	33918536	2	Os01g0800800,Os01g0800900
1	3313	33919497	33929782	2	Os01g0801000,Os01g0801100
1	71	34115002	34133448	2	Os01g0804400,Os01g0804900
1	5	34141778	34149144	2	Os01g0805400,Os01g0805500
1	1	34438388	34454439	2	Os01g0810600,Os01g0810800
1	74	34588835	34609152	2	Os01g0813700,Os01g0813800
1	3066	34705486	34734804	2	Os01g0816400,Os01g0816500
1	82	34917652	34941800	2	Os01g0819400,Os01g0819500
1	19	34981468	35003226	2	Os01g0820400,Os01g0820700
1	19	35032858	35064472	2	Os01g0821300,Os01g0821600
1	3323	35278373	35287943	2	Os01g0825166,Os01g0825332
1	218	35409292	35417464	2	Os01g0827500,Os01g0827600
1	3329	35682337	35685747	2	Os01g0833150,Os01g0833200
1	1323	35760071	35764006	2	Os01g0834500,Os01g0834600
1	1053	35868921	35873158	2	Os01g0836700,Os01g0836800
1	80	36165932	36180127	2	Os01g0842400,Os01g0842500
1	3337	36353072	36365448	2	Os01g0846450,Os01g0846500
1	209	36403442	36420029	3	Os01g0847600,Os01g0847700,Os01g0847800
1	80	36617104	36636717	3	Os01g0850550,Os01g0850700,Os01g0850800
1	86	37381402	37397433	2	Os01g0863800,Os01g0864000
1	23	37647790	37654285	2	Os01g0868800,Os01g0868900
1	1	37739465	37748575	2	Os01g0870400,Os01g0870500
1	15	37790484	37802110	3	Os01g0871500,Os01g0871600,Os01g0871700
1	15	37804021	37826818	4	Os01g0871800,Os01g0871900,Os01g0872000,Os01g0872100
1	15	37830130	37833242	2	Os01g0872400,Os01g0872450
1	3364	38139227	38146141	2	Os01g0878800,Os01g0878900
1	91	38148684	38152044	2	Os01g0879200,Os01g0879300
1	815	38287883	38290970	2	Os01g0882000,Os01g0882100
1	1	38700691	38707473	2	Os01g0890100,Os01g0890200
1	3381	38718491	38724165	2	Os01g0890400,Os01g0890500
1	2	38761910	38797375	3	Os01g0891601,Os01g0891700,Os01g0892300
1	608	38807395	38815213	2	Os01g0892500,Os01g0892600
1	244	38916092	38926377	2	Os01g0895200,Os01g0895300
1	2101	38968295	38976375	2	Os01g0896700,Os01g0896800
1	643	38990969	38997439	2	Os01g0897200,Os01g0897300
1	3388	39110685	39115037	2	Os01g0899275,Os01g0899350
1	2346	39408313	39413189	2	Os01g0905200,Os01g0905300
1	1170	39588274	39595176	2	Os01g0909100,Os01g0909150
1	342	39876458	39879405	2	Os01g0915200,Os01g0915401
1	10	39918940	39923794	2	Os01g0915900,Os01g0916000
1	1018	40061648	40066375	2	Os01g0918200,Os01g0918300
1	242	40194213	40216944	4	Os01g0920500,Os01g0920800,Os01g0921000,Os01g0921100
1	761	40626435	40634763	2	Os01g0926600,Os01g0926700
1	1730	40759332	40778604	3	Os01g0928600,Os01g0928700,Os01g0928800
1	115	40849226	40852947	3	Os01g0930900,Os01g0930950,Os01g0931000
1	458	40875375	40881181	2	Os01g0931600,Os01g0931700
1	224	40999828	41008440	4	Os01g0934600,Os01g0934700,Os01g0934800,Os01g0934900
1	3412	41133779	41140530	2	Os01g0937012,Os01g0937025
1	325	41139355	41146727	3	Os01g0937050,Os01g0937100,Os01g0937200
1	325	41166235	41177695	3	Os01g0937500,Os01g0937600,Os01g0937800
1	22	41346648	41376297	4	Os01g0940700,Os01g0940800,Os01g0941200,Os01g0941500
1	22	41525702	41537927	3	Os01g0944500,Os01g0944700,Os01g0944800
1	49	41839952	41845305	3	Os01g0949700,Os01g0949750,Os01g0949800
1	3419	41887067	41896238	2	Os01g0951200,Os01g0951400
1	52	41914684	41919058	2	Os01g0952000,Os01g0952100
1	7	42074192	42080556	3	Os01g0955100,Os01g0955400,Os01g0955500
1	6	42207009	42213685	2	Os01g0957600,Os01g0957800
1	1074	42281274	42283619	2	Os01g0959100,Os01g0959200
1	11	42429502	42442936	3	Os01g0962700,Os01g0962900,Os01g0963000
1	873	42700985	42707981	3	Os01g0968100,Os01g0968200,Os01g0968300
2	525	165493	169528	2	Os02g0103200,Os02g0103300
2	44	172243	179370	2	Os02g0103500,Os02g0103600
2	62	304089	316458	2	Os02g0105600,Os02g0105800
2	877	410645	418387	2	Os02g0106966,Os02g0107000
2	878	509377	517148	2	Os02g0109400,Os02g0109501
2	1617	655324	669053	2	Os02g0112100,Os02g0112600
2	124	743366	748174	2	Os02g0113800,Os02g0113900
2	182	862273	869292	2	Os02g0116300,Os02g0116400
2	296	993563	1003399	2	Os02g0118900,Os02g0118950
2	460	1249957	1262364	2	Os02g0124000,Os02g0124300
2	241	1745671	1753122	2	Os02g0133100,Os02g0133200
2	1	1949825	1956461	2	Os02g0136900,Os02g0136933
2	1207	1986386	1997302	2	Os02g0137450,Os02g0137500
2	363	2161770	2178755	2	Os02g0140400,Os02g0140500
2	46	2406632	2409319	2	Os02g0143300,Os02g0143400
2	2	2933952	2948974	3	Os02g0153100,Os02g0153200,Os02g0153400
2	2	2958786	2982356	4	Os02g0153700,Os02g0153900,Os02g0154000,Os02g0154200
2	492	3028276	3040481	2	Os02g0155000,Os02g0155300
2	2	3037622	3072625	4	Os02g0155400,Os02g0155600,Os02g0155700,Os02g0155900
2	2	3097247	3104794	2	Os02g0156600,Os02g0156633
2	2	3106371	3129256	4	Os02g0156800,Os02g0157000,Os02g0157100,Os02g0157200
2	2	3132777	3138125	2	Os02g0157400,Os02g0157501
2	465	3929618	3946543	2	Os02g0172000,Os02g0172300
2	6	4740049	4767187	3	Os02g0184900,Os02g0185200,Os02g0185300
2	6	4768846	4776253	2	Os02g0185400,Os02g0185500
2	6	4785324	4797937	3	Os02g0185900,Os02g0186100,Os02g0186200
2	6	4824246	4830333	3	Os02g0186800,Os02g0186900,Os02g0187000
2	33	4942762	4948386	2	Os02g0189200,Os02g0189300
2	64	4976661	4985863	2	Os02g0190000,Os02g0190100
2	300	5183536	5195290	3	Os02g0193100,Os02g0193200,Os02g0193300
2	1	5259822	5276091	2	Os02g0194400,Os02g0194600
2	578	5812094	5825115	2	Os02g0204000,Os02g0204200
2	5	5955018	5967648	2	Os02g0206100,Os02g0206400
2	5	6007623	6018933	2	Os02g0207100,Os02g0207400
2	2	6247083	6256373	2	Os02g0211800,Os02g0211900
2	2428	6265995	6271547	3	Os02g0212300,Os02g0212400,Os02g0212500
2	2	6476685	6490577	2	Os02g0215700,Os02g0215900
